冤	4535251354
冥	4525114134
冨	45125125121
冪	451222511134252
冬	35444
冯	41551
冰	412534
冲	412512
决	415134
况	4125135
冶	4154251
冷	4134454
冻	4115234
冼	41312135
冽	41135422
冾	41341251
净	41355112
凄	4115112531
准	4132411121
凇	4112343454
凈	4134435112
凉	4141251234
凋	4135121251
凌	4112134354
凍	4112511234
减	41131251534
凑	41111341134
凛	414125251111234
凜	414125251131234
凝	4135322345452134
几	35
凡	354
凤	3554
処	35435
凪	352121
凭	32312135
凯	25251535
凰	35325111121
凱	252125143135
凳	54334125143135
凶	3452
凸	21251
凹	25251
出	52252
击	11252
函	52413452
凿	224314311252
刀	53
刁	51
刃	534
分	3453
切	1553
刈	3422
刊	11222
刍	35511
刎	353322
刑	113222
划	153422
列	135422
刘	413422
则	253422
刚	253422
创	345522
初	4523453
删	3535122
判	4311322
別	2515322
刨	3551522
利	3123422
刪	2522122
别	2515322
刮	31225122
到	15412122
制	31125222
刷	51325222
券	43113453
刹	34123422
刺	12523422
刻	41533422
刽	34115422
剁	35123422
剂	41343222
剃	435152322
則	251113422
剉	343412122
削	243251122
剋	122513522
剌	125123422
前	431251122
剎	341234422
剐	251253422
剑	341443122
剔	2511353322
剖	4143125122
剛	2543125222
剜	4453545522
剝	5512413422
剣	3412513422
剤	4134321122
剥	5112413422
剧	5131225122
剩	312211353422
剪	43125112253
副	12512512122
割	445111225122
創	344511325122
剷	4143133112122
剽	1252211123422
剿	5551511123422
劃	51112125121122
劇	215315135333422
劈	513251414311253
劉	354533411243122
劊	341252431251122
劍	341251251343422
劏	243452512512122
劑	4143253354321122
力	53
劝	5453
办	5344
功	12153
加	53251
务	35453
劣	234353
动	115453
助	2511153
努	5315453
劫	1215453
劭	5325153
励	1315353
劲	5412153
劳	1224553
労	4434553
劵	43113453
効	41343453
劾	41533453
势	12135453
勁	155512153
勃	124552153
勇	542511253
勉	352513553
勋	251253453
勐	5212522153
勒	12212511253
動	31251121153
勖	25112511153
勘	12211134553
務	5452335453
勛	251251113453
勝	351143113453
勞	433443344553
募	122251113453
勢	1213412135453
勤	1221251112153
勧	3113241112153
勳	3125431211444453
勵	1312225112521453
勸	1222512513241112153
勺	354
勻	3511
勾	3554
勿	3533
匀	3541
包	35515
匆	35334
匈	353452
匍	351251124
匐	35125125121
匕	35
化	3235
北	21135
匙	25111213435
匝	12525
匠	133125
匡	111215
匣	1251125
匪	1211121115
匮	12512125345
匯	1441324111215
匱	12512125111345
匹	1355
区	1345
医	1311345
匾	14513251225
匿	1122132515
區	12512512515
十	12
千	312
卅	1322
升	3132
午	3112
卉	12132
半	43112
卍	5212
华	323512
协	125344
卑	32511312
卒	41343412
卓	21251112
協	12535353
单	43251112
卖	12544134
南	122543112
単	443251112
博	121251124124
卜	24
卞	4124
卟	25124
占	21251
卡	21124
